Food_Name,Overview,Type,Irritable_Bowel_Syndrome​_Score,Irritable_Bowel_Syndrome​_Reason,Obesity_Score,Obesity_Reason,Source,Diabetes_Score,Diabetes_Reason,Carbohydrate_content,Source,Hyperlipidimia_Score,Hyperlipidemia_Reason,Source,Hypertension_Score,Hypertension_Reason,Healthy,Think_Well_Score,Think_Well_Reason_,Feel_Well_Score,Feel_Well_Reason,Live_Well_Score,Live_Well_Reason,"Gut_Superfood_or_Fermented_food_=_1,_else_0",Allergens,Dietary_Restrictions,Similar_Choices,Mealtimes,Additional_food,Healthier_alternatives,
Brown Rice,Brown rice's fibre has shown to reduce risk of colorectal cancer and aid with weight loss. Brown rice also contains resistant starch that feeds the gut bacteria and supports the population of beneficial gut bacteria.,0,5,Brown rice is low FODMAP.,Y,Replacing white rice with brown rice increases fibre intake to keep you full longer and hence might promote weight loss if eaten in moderate quantities.,https://www.hsph.harvard.edu/nutritionsource/carbohydrates/fiber/,1,"Brown rice has a lower GI, higher nutrient and fibre content compared to white rice. Studies have shown that by replacing 20% of the white rice you eat with brown rice can help to reduce the risk of diabetes by 16%.","1 bowl (230 g) / serv

CHO = 57.04 g = 3.8 ex

Wholegrain
Considered a Meal",https://www.healthhub.sg/live-healthy/193/brown_rice_paradise,5,"In a clinical trial, substituting brown rice in place of white rice resulted in an average decline of 11 points in total cholesterol.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6948352/,5,Sodium per serv = 6.9 mg,5,1,Preliminary studies indicate that brown rice consumption may increase serotonin levels.,1,Whole grains are rich in fibres that can be fermented by our gut bacteria to produce SCFA.,1,Wholegrains might protect the liver and help reduce cholesterol levels. It also enhances fecal bile acids secretion to promote healthy cholesterol levels.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Oat
Brown Rice Noodle","Breakfast
Lunch
Dinner","Quinoa
Millet
Amaranth",,
Brown Rice Noodle,Brown rice fibre protects against colorectal cancer by promoting regular bowel movements and preventing constipation. Magnesium from brown rice is also involved in energy production.,0,5,Brown rice noodle is low FODMAP.,Y,Brown rice consumption improved blood sugar control in non-obese volunteers with glucose intolerance in a clinical trial.,https://pubmed.ncbi.nlm.nih.gov/25078374/,5,"Fermentation of resistant starch encourages the growth of beneficial commensal bacteria while inhibiting the growth of harmful bacteria, this in turn improves blood glucose control.","1 bowl rice (56 g) / serv

CHO = 45 g = 3 ex

Wholegrain
Considered a Meal",https://hopkinsdiabetesinfo.org/what-is-resistant-starch/,5,Brown rice noodles are higher in fibre which helps to lower total and LDL cholesterol through excretion.,https://www.healthhub.sg/sites/assets/Assets/PDFs/EHA%20and%20CGH/CGH%20-%20Healthy%20Eating%20for%20Lower%20Cholesterol_FA_Low-Res.pdf,5,Sodium per serv = 10 mg,5,1,A laboratory experiment found that brown rice consumption increased serotonin levels in mice.,1,Brown rice may improve the numbers and diversity of the gut bacteria.,1,"Brown rice protects the liver by preventing fat accumulation in the liver, thereby helping to ensure that the liver functions efficiently and can produce abundant amounts of healthy bile.",0,Gluten,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan",Brown Rice,"Breakfast
Lunch
Dinner","
Wholemeal pasta
Wholemeal noodles
Mee kia
Mee sua",,
Brussel Sprout,"Brussels sprouts are an excellent source of vitamin K, which regulates blood clotting and reduces risk for coronary artery disease. They also provide quercetin which promotes gut microbial diversity.",2,5,Brussel sprout is low FODMAP up to 38g.,Y,"Brussels sprouts are high in fiber, low in calories and full of nutrients. They help control appetite by reducing levels of the appetite-stimulating hormone leptin, and are an excellent addition to a healthy weight loss diet.",https://ojs.ptbioch.edu.pl/index.php/abp/article/view/2725,5,High intake of cruciferous vegetables like brussel sprouts is often associated with reduced risk of diabetes.,"1/2 cup (78 g) / serv

CHO = 5.54 g = 0.4 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4336706/,5,Galactolipids in brussel sprouts appear to have anti-inflammatory effects which may be protective against atherosclerosis.,https://sci-hub.se/10.2174/2212798410901010050,5,Sodium per serv = 16.4 mg,5,1,"Brussel sprouts provide 32mg of choline per 1/2 cup, choline is used to make neurotransmitter acetycholine.",1,Brussel sprouts were found to increase butyrate and acetate production in rats.,1,Choline in brussel sprouts does not raise TMAO levels. In fact consumption of cruciferous vegetables promotes cardiovascular health and overall longevity.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Red Cabbage
Kale
Lettuce
Leek
Celery","Lunch
Dinner",,,
Carrot,"Carrot is packed with fibre and nutrients but low in calories, making it an ideal food for weight loss. They also carry carotenoid antioxidants which promote gut micriobiome diversity as well as better heart health.",2,5,Carrot is low FODMAP.,Y,"Carrots were found to inhibit post-meal hunger, and subsequently reduce food intake for the rest of the day in a human study.",https://pubmed.ncbi.nlm.nih.gov/16925866/,5,A study reported carrots to significantly lower blood glucose levels in diabetic laboratory animals.,"1 whole (206 g) / serv

CHO = 21.59 g = 1.4 ex",https://pubmed.ncbi.nlm.nih.gov/30018889/,5,Carrot juice is suggested to prevent the formation of arterial plaque from lipid peroxidation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192732/,5,Sodium per serv = 135.96 mg,5,1,Carrots are a good source of plant-derived GABA.,1,"A carrot polysaccharide, rhamnogalacturonan-I, has been shown to increase the production of acetate and propionate.",1,Lutein and beta-carotene found in carrots are hepatoprotective as antioxidants which prevent oxidative damage to the liver.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Red Capsicum
Pumpkin
Tomato
White Potato","Lunch
Dinner
Snack",Radish,,
Cashew,"Cashew's unsaturated fatty acids have shown to improve blood lipid profiles. They are also a source of potassium and magnesium which help to lower high blood pressure, a cardiovascular risk factor.",4,1,Cashew has high FODMAP.,N,"Cashew nuts help keep you full longer and reduce your energy intake to lose weight. However, nuts have high caloric content so no more than a handful should be eaten as a snack or used in a meal.",https://www.hsph.harvard.edu/nutritionsource/carbohydrates/fiber/,1,Cashew nut has abundant proanthocyanidins which are associated with decreased risk of type 2 diabetes.,"1 cup (137 g) / serv

CHO = 40.68 g = 2.7 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5707743/,3,Cashew nuts have been found to lower LDL (bad) cholesterol levels in adults with mildy elevated cholesterol.,https://www.mdpi.com/2072-6643/9/12/1311,5,Sodium per serv = 21.92 mg,5,1,Anacardic acid naturally found in cashew might have antidepressant-like effects.,1,"Butyrate-producing gut bacteria are able to ferment cashew nuts through digestion. Thus, consuming cashews increases butyrate levels by supporting healthy intestinal bacteria.",1,Studies show that consumption of nuts decreases risk for gallbladder stones.,1,Nuts,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Macadamia
Walnut
Pistachio
Almond
Pecan","Breakfast
Snack",,,
Cauliflower,"Fiber and antioxidants in cauliflower protect heart health by reducing cholesterol levels and preventing oxidation of cholesterol. Cauliflower is also a source of sulforaphane, which may confer neuroprotective benefits.",2,1,Cauliflower is high in FODMAP.,Y,"Cauliflower is high in fibre, which helps keep you full longer and reduce your energy intake to lose weight.",https://pubmed.ncbi.nlm.nih.gov/16925866/,5,Sulforafane in cauliflower has been found to improve glucose control in type 2 diabetes.,"1 cup (124 g) / serv

CHO = 5.1 g = 0.34 ex",https://pubmed.ncbi.nlm.nih.gov/28615356/,5,Cauliflowers are rich in beta-sitosterol which may have cholesterol-lowering properties. ,"https://pubmed.ncbi.nlm.nih.gov/21969169/
https://sci-hub.se/https://doi.org/10.1016/S0895-3988(09)60001-5",5,Sodium per serv = 18.6 mg,5,1,Half a cup of cauliflower provides 24mg of choline which is used to make neurotransmitter acetylcholine.,1,"Cruciferous vegetables like cauliflower may inhibit the growth of hydrogen sulfide producing bacteria, allowing lactic acid bacteria to grow more easily and produce more SCFA.",1,Indole-3-carhinol in cruciferous vegetables like cauliflower prevent liver fibrosis.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Broccoli
Kale
Brussel Sprout
Red Cabbage
Lettuce","Lunch
Dinner",,,
Celery,"Celery fiber helps lower cholesterol levels and its high potassium content helps lower blood pressure. Additionally, it contains a compound called luteolin, which may inhibit cognitive dysfunction.",2,1,Celery is high FODMAP.,Y,"3-N-butylphthalide, a bioactive compound in celery, may have anti-obesity properties.",https://www.mdpi.com/2076-3417/11/17/7889/htm,5,Flavanoids luteolin and apigenin in celery have been shown to have hypoglycemic effects.,"1 cup (119 g) / serv

CHO = 2.87 g = 0.19 ex",https://sci-hub.se/10.1002/ptr.6492,5,Phthalide compounds in celery lower cholesterol levels.,https://sci-hub.se/10.1002/ptr.6492,5,Sodium per serv = 10.71 mg,5,1,"In a mice study, celery extract was found to protect the dopamine-producing neurons.",1,"Celery contains the bioflavonoid apigenin, which has been found to increase butyrate production by some gut bacteria.",1,"Celery is packed with antioxidants like luteolin, ferulic acid, and kaemperfol. Antioxidants combat oxidative stress which impair heart and liver health.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Zucchini
Lettuce
Leek
Red Cabbage
Okra","Lunch
Dinner 
Snack",,,
Chapati,"Chapati is packed with minerals and fibre. Fibre promotes regular bowel movements and improved insulin sensitivity. On the other hand, chapati has blood pressure lowering potassium and magnesium that reduce the risk of heart disease.",0,1,Chapati has high FODMAP.,Y,"In a study of postmenopausal women, replacing white flour with whole wheat in conjunction with a calorie-restricted diet for 12 weeks resulted in greater weight loss compared to a control group that ate refined white flour.",https://www.hsph.harvard.edu/nutritionsource/carbohydrates/fiber/,5,Atta mix chappti has a low GI of only 30 when compared to whole wheat flour chapati which is 45. Having Low GI food could help in the prevention and control of diabetes.,"1 piece (46 g) / serv

CHO = 21.48 g = 1.4 ex

Wholemeal
Considered a Meal for bf",https://pubmed.ncbi.nlm.nih.gov/20100375/,5,"Whole wheat flour may significantly lower cholesterol, according to laboratory animal studies.",https://pubmed.ncbi.nlm.nih.gov/12381149/,5,Sodium per serv = 119.14 mg,5,1,"Complex carbohydrates are known to increase tryptophan levels, which promotes serotonin production.",1,"In a clinical study, overweight volunteers who replaced white flour with whole wheat for 12 weeks showed increased levels of beneficial butyrate-producing bacteria.",1,Consumption of fibre is recommended to prevent gallstones which may impair fat digestion.,0,Gluten,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","High Fibre Bread
Wholemeal Bread
Brown Rice
Wholegrain Cereal","Breakfast
Lunch
Dinner",Naan,,
Char Kway Teow,"Char kway teow's high fat content is likely to cause gut dysbiosis which is associated with obesity and heart disease. Overall, the consumption of Char Kway Teow should be limited as it does not have a high nutrient content. ",0,1,Char kway teow is high FODMAP.,N,"Char kway teow is fried, and high in fat and sugar. On the whole, it is likely to promote weight gain and would be undesirable for a weight loss diet. ",https://focos.hpb.gov.sg/eservices/ENCF/FoodAnalysis.aspx?p=1,1,Char kway teow might have excessive fat and sugar and a high GI of 81.  People with diabetes should eat this dish only ocassionally.,"1 plate (384 g) / serv

CHO = 76.03 g = 5 ex

Not Wholemeal",https://cnalifestyle.channelnewsasia.com/wellness/list-of-asian-foods-glycaemic-index-237921,1,The high amount of fat provided in char kway teow may lower HDL cholesterol and raise LDL cholesterol according to preliminary research.,https://sci-hub.se/https://pubmed.ncbi.nlm.nih.gov/30591270/,2,Sodium per serv = 1459.2 mg,1,-1,The large amount of saturated fat and cholesterol in char kway teow could impair cognitive ability according to a study in children.,-1,"Saturated fats reduce the number and divesity of beneficial gut bacteria, lowering SCFA production.",-1,The high amounts of sodium in char kway teow would promote hypertension. Hypertension is a risk factor of many cardiovascular diseases.,0,"Shellfish
Fish
Egg",N/A,"Fried Mee Siam
Mee Goreng
Hokkien Mee","Breakfast
Lunch
Dinner","Hokkien mee
Kway chap
Chee cheong fun","Lentil with Rice
Chicken Quinoa Salad with Vegetables
Brown Rice Noodle
Chickpea Curry",
Chicken Briyani,"Chicken briyani contains saturated fats which are unhealthy for the heart. They raise blood cholesterol levels, a risk factor for cardiovascular diseases.",3,1,Chicken briyani is high FODMAP.,N,"Chicken briyani made with less oil and ghee, and brown rice can be a healthy weight loss meal. Less sauce should also be eaten with the rice to reduce dietary energy intake.",https://pubmed.ncbi.nlm.nih.gov/23930929/,1,"When white rice was substituted with brown rice, blood glucose control improved. This is likely due to brown rice's higher fibre content and lower glycemic index. However, 1 serving is high in calories and carbohydrate which could spike blood sugar.","1 plate (400 g) / serv

CHO = 83.6 g = 5 ex

Not Wholemeal",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6948352/,3,"The spices used, such as cumin, turmeric, cardamom and cinnamon, are reported to be great for heart health. They help lower blood cholesterol levels and inhibit arterial plaque from forming. ","https://pubmed.ncbi.nlm.nih.gov/30088304/
https://sci-hub.se/10.1016/j.biotechadv.2019.01.010
https://pubmed.ncbi.nlm.nih.gov/31755188/
https://pubmed.ncbi.nlm.nih.gov/29917280/",2,Sodium per serv = 1356.6 mg,1,1,Chicken is high in tryptophan which is used to make GABA and serotonin.,1,"Brown rice might increase SCFA production, promoting the abundance of SCFA producing bacteroidetes.",1,The antioxidative properties of cinnamon and turmeric could prevent oxidative damage to the heart and liver.,0,Lactose,Halal,"Egg Prata
Mee Goreng
Pad Thai","Breakfast
Lunch
Dinner","Ayam penyet
Chicken rice","Lentil with Rice
Chicken Quinoa Salad with Vegetables
Brown Rice Noodle
Chickpea Curry",
Chicken Curry,"Chicken curry's coconut milk and fried curry paste makes the dish rich in fat, especially saturated fat. This raises cardiovascular risk by elevating blood cholesterol levels.",3,1,Chicken curry is high FODMAP.,N,"Chicken curry is full of fat from the coconut milk added and oil used to fry the curry paste. This makes the dish very high in calories, and more likely cause weight gain.",https://focos.hpb.gov.sg/eservices/ENCF/FoodAnalysis.aspx?p=1,1,The saturated fats from coconut milk would negatively impact blood glucose control and reduce insulin sensitivity.,"1 bowl (706 g) / serv

CHO = 50.98 g = 3.4 ex

Not Wholemeal","https://focos.hpb.gov.sg/eservices/ENCF/FoodAnalysis.aspx?p=1
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5291812/#SD1",1,The curry may elevate total and LDL cholesterol levels due to its high saturated fat content.,"https://sci-hub.se/http://dx.doi.org/10.1136/gutjnl-2018-317609
https://academic.oup.com/femsec/article/94/5/fiy045/4939468",1,Sodium per serv = 1722.78 mg,1,-1,Chicken curry's high fat content could cause gut dysbiosis which has been associated with depression.,-1,High fat consumption has been shown to significantly reduce the amount of short-chain fatty acids (SCFA) in the gut.,-1,"A human study showed saturated fats would promote accumulation of fats in the liver, increasing the risk of fatty liver disease.",0,Nuts,Halal,"Egg Prata
Pad Thai","Breakfast
Lunch
Dinner","Japanese curry
Mee rebus
Mee soto","Tofu
Prawn
Salmon
Skinless Roasted Chicken
",
